n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,shares
9.0,286.0,0.552727270717,0.999999994624,0.612903222511,6.0,4.0,2.0,1.0,4.702797202799999,9.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,519.0,110.125,0.0,843300.0,401655.555556,0.0,4020.49484536,2770.92939476,2000.0,13900.0,7950.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.022280446579800002,0.0222250159766,0.022249735592099997,0.0222233475368,0.911021454315,0.43362794612800004,0.267171717172,0.048951048951000005,0.0,1.0,0.0,0.343506493506,0.13636363636399998,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4751.0
10.0,96.0,0.702127652105,0.999999984375,0.7968749875489999,4.0,3.0,10.0,1.0,4.45833333333,8.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,900.0,399.25,4400.0,80400.0,39962.5,2042.60869565,3366.92045455,2917.84271496,2600.0,2600.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0251738212368,0.0250497120841,0.025009587193299997,0.899733415405,0.025033464081,0.733333333333,0.04,0.0416666666667,0.020833333333299998,0.666666666667,0.33333333333299997,0.425,0.2,0.5,-0.65,-0.7,-0.6,1.0,0.5,0.5,0.5,1821.0
9.0,399.0,0.675531913097,0.999999996269,0.8134328327860001,21.0,1.0,20.0,0.0,4.85964912281,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,413.0,163.75,0.0,843300.0,277655.555556,0.0,8974.23406863,4570.54496055,23700.0,23700.0,23700.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181856087738,0.0222350167624,0.140075958279,0.632908710098,0.022924227122499998,0.356277056277,0.07988311688310001,0.0275689223058,0.0200501253133,0.578947368421,0.42105263157899997,0.312613144431,0.1,0.6,-0.180208333333,-0.4,-0.1,0.535714285714,0.28571428571400004,0.035714285714300006,0.28571428571400004,1420.0
11.0,1388.0,0.482155862722,0.999999998826,0.685446008585,40.0,4.0,2.0,5.0,4.562680115269999,10.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,478.0,52.2222222222,0.0,843300.0,230180.0,0.0,4916.28571429,3270.49527347,1400.0,1400.0,1400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.566989031384,0.0215425339924,0.219970886565,0.020043230433400002,0.171454317625,0.44666670102399997,0.174293341579,0.046829971181600004,0.0136887608069,0.77380952381,0.22619047619000002,0.363140526141,0.0333333333333,1.0,-0.260964912281,-0.5,-0.05,1.0,-0.5,0.5,0.5,52.0
12.0,499.0,0.564681723686,0.999999996656,0.752508358687,10.0,0.0,1.0,0.0,4.9619238477,7.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1300.0,283.0,0.0,843300.0,233657.14285700003,0.0,3960.28571429,2382.86221815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285791398413,0.028579628969099997,0.388730357278,0.168016398413,0.386094475499,0.527349190664,0.147922548466,0.062124248497000004,0.014028056112200002,0.8157894736839999,0.184210526316,0.291110878369,0.1,0.6,-0.195238095238,-0.4,-0.1,0.65,0.35,0.15,0.35,4182.0
12.0,178.0,0.7199999958859999,0.9999999905660001,0.8207547092380001,2.0,2.0,1.0,1.0,4.404494382019999,6.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,979.0,279.0,11200.0,843300.0,267933.333333,1868.67741935,5631.0,3779.31410749,830.0,1600.0,1215.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.033333440619,0.866598348695,0.0333335535238,0.033401272615,0.0333333845468,0.55875,0.374097222222,0.0730337078652,0.011235955056200002,0.8666666666670001,0.133333333333,0.435897435897,0.1,1.0,-0.15625,-0.1875,-0.125,0.33333333333299997,0.33333333333299997,0.166666666667,0.33333333333299997,4085.0
11.0,317.0,0.529411762976,0.999999994737,0.684210522715,2.0,1.0,1.0,0.0,4.8643533123000005,9.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,505.0,123.333333333,0.0,843300.0,138766.666667,0.0,3599.04442771,1936.27223923,7600.0,7600.0,7600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223078254272,0.022264848912800003,0.0222301703456,0.11299068021099999,0.820206475104,0.410238095238,0.19095238095199998,0.0662460567823,0.00946372239748,0.875,0.125,0.34166666666699996,0.1,0.7,-0.163888888889,-0.2,-0.125,0.33333333333299997,0.25,0.166666666667,0.25,7844.0
10.0,309.0,0.604575161423,0.9999999939390001,0.8121212071989999,2.0,1.0,1.0,0.0,4.31391585761,6.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,627.0,307.0,0.0,690400.0,149066.666667,0.0,3414.77479687,2139.32983758,4100.0,4100.0,4100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0337029958629,0.672306775463,0.22682086084800002,0.0334391165846,0.033730251242299995,0.4270000000000001,0.057666666666699985,0.0291262135922,0.0291262135922,0.5,0.5,0.37037037037,0.0333333333333,0.7,-0.210185185185,-0.4,-0.1,0.5,0.13636363636399998,0.0,0.13636363636399998,8437.0
6.0,214.0,0.650943393156,0.999999992,0.823999993408,5.0,3.0,1.0,0.0,4.59345794393,6.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,649.0,144.16666666700002,16100.0,843300.0,381200.0,2563.47826087,3504.93380197,2984.36417161,2200.0,2200.0,2200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0333649622617,0.033337668901,0.0333386914438,0.033333551351,0.866625126042,0.429166666667,0.325,0.0280373831776,0.0,1.0,0.0,0.391666666667,0.25,0.6,0.0,0.0,0.0,0.8,0.4,0.3,0.4,3254.0
11.0,250.0,0.510917028337,0.9999999930560001,0.618055551264,4.0,0.0,1.0,0.0,4.436,4.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,419.0,247.0,0.0,690400.0,517800.0,0.0,6049.66239316,3260.81338904,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551131795548,0.29886668796599997,0.0500005349199,0.05000054545580001,0.050000436109800005,0.33305976431,0.13322811447799998,0.044000000000000004,0.024,0.647058823529,0.35294117647100004,0.35557851239699995,0.1,0.8,-0.15787037037,-0.166666666667,-0.125,0.5,0.5,0.0,0.5,4736.0
